id,text
593891099434983425,irkKus: Indirect cost of the UK being in the EU is estimated to be costing Britain £170 billion per year! BetterOffOut UKIP
593891099548094465,VIDEO: Sturgeon on post-election deals 
593891099388846080,abourEoin: The economy was growing 3 times faster on the day David Cameron became Prime Minister than it is today.. BBCqt …
593891100429045760,regLauder: the UKIP east lothian candidate looks about 16 and still has an msn addy 
593891100768784384,hesundaypeople: UKIP's housing spokesman rakes in £800k in housing benefit from migrants.   …
593891100982546432,igel_Farage: Make sure you tune in to AskNigelFarage tonight on BBC 1 at 22:50! UKIP 
593891101154619392,oannetallis: Ed Milliband is an embarrassment. Would you want him representing the UK?!  bbcqt vote onservatives
593891101452476416,"bstex: The FT is backing the Tories. On an unrelated note, here's a photo of FT leader writer Jonathan Ford (next to Boris) …"
593891101838340096,ivenJ1: “eorge_Osborne: Ed Miliband proved tonight why he's not up to the job” Tbf you've spent 5 years doing that you salivating do…
593891101313896449,LOLZ to Trickle Down Wealth. It's never trickling past their own wallets. Greed always wins $$$ for the greedy.  
593891101766918144,SNP leader faces audience questions 
593891101959917568,"ononeilluk: Cameron ""Ed Milliband hanging out with Russell Brand. He is a joke. This is an election. This is about real people' http:/…"
593891102257713152,oliticshome: Ed Miliband: Last Labour government did not overspend  
593891102480007169,"If Miliband is refusing to do any deal with the SNP, how does he plan on forming a government?"
593891103100776448,cotnotbritt: Well thats it. LABOUR would rather have a TORY government rather than work with the SNP. 
593891103184551936,Cameron wins last TV contest of election campaign - poll: LONDON (Reuters) - Prime Minister David Cameron won the… 
593891102836563969,"tephen501: unleavy138 rillyBobc heSNP KLabour I would be happy to do a deal with the SNP, but d_Miliband was clear. If you w…"
593891102895296512,"How dare dMiliband_MP force Socialists to chose between the English LP and the SNP! The SNP are the last, true Socialist party in the UK"
593891103272665088,Watch: Ed Miliband trips off the stage following Question Time leaders special 
593891104438759425,"bstex: The FT is backing the Tories. On an unrelated note, here's a photo of FT leader writer Jonathan Ford (next to Boris) …"
593891104870813699,0MBSKARE the anti-Scottish feeling is largely a product of Tory press scaremongering. In practice most people won't give a toss!
593891105457897472,"Miliband stumbles, Cameron dodges "
593891105935994880,Miliband - I'd pass on PM job rather than do deal with Scots nationalists: LONDON (Reuters) - British Labour Party… 
593891106066198529,loriaDePiero: Nick Clegg is just as responsible for this Govt's failing  plan as David Cameron - he's backed the Tories all the  way
593891106590429185,ykilmarnock: Will the person who dropped a Vote SNP badge please call at Kilmarnock police station to collect it. …
593891106787631104,arkfergusonuk: The Sun’s Twitter worm appears to believe Ed Miliband is winning so far bbcqt 
593891106921799680,"cottishPleb HairyBiker 

SNP toxic in England. Why would Labour want to do a deal with them?"
593891107232165888,"atieKhaleesi: I'm SNPbecause in my entire adult life I've only seen Labour &amp; Tories cause misery, war, and further victimisation of t…"
593891107437699072,Jeremy Vine doesn't think the SNP Scottish takeover merits a mention
593891107387375616,"aniloxxv: ""UKIP is the bastard child of the big three parties. With apologies to all bastards."" - eterTatchell at the University of …"
593891107039215616,"“uttonnick: Friday's Times front page:
Miliband savaged for ‘lies’ over spending
tomorrowspaperstoday bbcpapers ”"
593891107857158145,hothersall: Scenes of celebration in Glasgow as SNP applaud a Conservative victory. Just a bit of fun. Or is it? :-) …
593891108117155840,"THopkins SNP thickos look forward to having the balance of power, bringing fair, decent policies that fascists bigots like u detest!"
593891108314308608,abourEoin: Another humongous lie from David Cameron. He has not clamped down on Tax Avoidance. Uncollected Tax has risen BBCqt http:/…
593891108716961792,"my tory dad:
""if UKIP had a chance here I'd definitely vote for them.""

*5 mins later*
""you are so blinkered!!! so closed minded!!""

u sure?"
