created_at,favorite_count,id,in_reply_to_status_id,in_reply_to_user_id,retweet_count,retweeted,text,truncated,user.id
Thu Apr 30 21:34:06 +0000 2015,0,5.93891E+17,,,0,FALSE,RT @KirkKus: Indirect cost of the UK being in the EU is estimated to be costing Britain £170 billion per year! #BetterOffOut #UKIP,FALSE,107794703
Thu Apr 30 21:34:06 +0000 2015,0,5.93891E+17,,,0,FALSE,VIDEO: Sturgeon on post-election deals http://t.co/BTJwrpbmOY,FALSE,557422508
Thu Apr 30 21:34:06 +0000 2015,0,5.93891E+17,,,0,FALSE,RT @LabourEoin: The economy was growing 3 times faster on the day David Cameron became Prime Minister than it is today.. #BBCqt http://t.co…,FALSE,3006692193
Thu Apr 30 21:34:06 +0000 2015,0,5.93891E+17,,,0,FALSE,RT @GregLauder: the UKIP east lothian candidate looks about 16 and still has an msn addy http://t.co/7eIU0c5Fm1,FALSE,455154030
Thu Apr 30 21:34:07 +0000 2015,0,5.93891E+17,,,0,FALSE,RT @thesundaypeople: UKIP's housing spokesman rakes in £800k in housing benefit from migrants.  http://t.co/GVwb9Rcb4w http://t.co/c1AZxcLh…,FALSE,187547338
Thu Apr 30 21:34:07 +0000 2015,0,5.93891E+17,,,0,FALSE,RT @Nigel_Farage: Make sure you tune in to #AskNigelFarage tonight on BBC 1 at 22:50! #UKIP http://t.co/ogHSc2Rsr2,FALSE,2164339015
Thu Apr 30 21:34:07 +0000 2015,0,5.93891E+17,,,0,FALSE,RT @joannetallis: Ed Milliband is an embarrassment. Would you want him representing the UK?!  #bbcqt vote @Conservatives,FALSE,370363681
Thu Apr 30 21:34:07 +0000 2015,0,5.93891E+17,,,0,FALSE,"RT @abstex: The FT is backing the Tories. On an unrelated note, here's a photo of FT leader writer Jonathan Ford (next to Boris) http://t.c…",FALSE,2264656669
Thu Apr 30 21:34:07 +0000 2015,0,5.93891E+17,,,0,FALSE,RT @NivenJ1: “@George_Osborne: Ed Miliband proved tonight why he's not up to the job” Tbf you've spent 5 years doing that you salivating do…,FALSE,304086842
Thu Apr 30 21:34:07 +0000 2015,0,5.93891E+17,,,0,FALSE,LOLZ to Trickle Down Wealth. It's never trickling past their own wallets. Greed always wins $$$ for the greedy.  https://t.co/X7deoPbS97,FALSE,2471552766
Thu Apr 30 21:34:07 +0000 2015,0,5.93891E+17,,,0,FALSE,SNP leader faces audience questions http://t.co/TYClKltSpW,FALSE,557422508
Thu Apr 30 21:34:07 +0000 2015,0,5.93891E+17,,,0,FALSE,"RT @cononeilluk: Cameron ""Ed Milliband hanging out with Russell Brand. He is a joke. This is an election. This is about real people' http:/…",FALSE,157763350
Thu Apr 30 21:34:07 +0000 2015,0,5.93891E+17,,,0,FALSE,RT @politicshome: Ed Miliband: Last Labour government did not overspend http://t.co/W9RJ2aSH6o http://t.co/4myFekg5ex,FALSE,2888909722
Thu Apr 30 21:34:07 +0000 2015,0,5.93891E+17,,,0,FALSE,"If Miliband is refusing to do any deal with the SNP, how does he plan on forming a government?",FALSE,390331913
Thu Apr 30 21:34:07 +0000 2015,0,5.93891E+17,,,0,FALSE,RT @scotnotbritt: Well thats it. LABOUR would rather have a TORY government rather than work with the SNP. http://t.co/SNMkRDCe9f,FALSE,221176097
Thu Apr 30 21:34:07 +0000 2015,0,5.93891E+17,,,0,FALSE,Cameron wins last TV contest of election campaign - poll: LONDON (Reuters) - Prime Minister David Cameron won the… http://t.co/aUMOoYWOSk,FALSE,2724103423
Thu Apr 30 21:34:07 +0000 2015,0,5.93891E+17,,,0,FALSE,"RT @stephen501: @dunleavy138 @CrillyBobc @theSNP @UKLabour I would be happy to do a deal with the SNP, but @Ed_Miliband was clear. If you w…",FALSE,523427919
Thu Apr 30 21:34:07 +0000 2015,0,5.93891E+17,,,0,FALSE,"How dare @EdMiliband_MP force Socialists to chose between the English LP and the SNP! The #SNP are the last, true Socialist party in the UK",FALSE,343918719
Thu Apr 30 21:34:07 +0000 2015,0,5.93891E+17,,,0,FALSE,Watch: Ed Miliband trips off the stage following Question Time leaders special http://t.co/X61IGbe07R,FALSE,160930875
Thu Apr 30 21:34:07 +0000 2015,0,5.93891E+17,,,0,FALSE,"RT @abstex: The FT is backing the Tories. On an unrelated note, here's a photo of FT leader writer Jonathan Ford (next to Boris) http://t.c…",FALSE,60061001
Thu Apr 30 21:34:08 +0000 2015,0,5.93891E+17,5.9389E+17,278076899,0,FALSE,@B0MBSKARE the anti-Scottish feeling is largely a product of Tory press scaremongering. In practice most people won't give a toss!,FALSE,1584156685
Thu Apr 30 21:34:08 +0000 2015,0,5.93891E+17,,,0,FALSE,"Miliband stumbles, Cameron dodges http://t.co/wnv2zOhQvq",FALSE,323685593
